EntrezGeneID,EntrezGeneSymbol,UniProt
2139,EYA2,O00167
2146,EZH2,Q15910
2147,F2,P00734
2152,F3,P13726
2153,F5,P12259
2155,F7,P08709
2157,F8,P00451
2158,F9,P00740
2159,F10,P00742
2160,F11,P03951
2162,F13A1,P00488
2165,F13B,P05160
2167,FABP4,P15090
2168,FABP1,P07148
2169,FABP2,P12104
2170,FABP3,P05413
2171,FABP5,Q01469
2172,FABP6,P51161
2184,FAH,P16930
2185,PTK2B,Q14289
2186,BPTF,Q12830
2188,FANCF,Q9NPI8
2191,FAP,Q12884
2192,FBLN1,P23142
2194,FASN,P49327
2202,EFEMP1,Q12805
2203,FBP1,P09467
2204,FCAR,P24071
2205,FCER1A,P12319
2208,FCER2,P06734
2209,FCGR1A,P12314
2212,FCGR2A,P12318
2213,FCGR2B,P31994
2214,FCGR3A,P08637
2215,FCGR3B,O75015
2217,FCGRT,P55899
2219,FCN1,O00602
2220,FCN2,Q15485
2237,FEN1,P39748
2239,GPC4,O75487
2241,FER,P16591
2246,FGF1,P05230
2247,FGF2,P09038
2248,FGF3,P11487
2249,FGF4,P08620
2250,FGF5,P12034
2251,FGF6,P10767
2252,FGF7,P21781
2253,FGF8,P55075
2254,FGF9,P31371
2255,FGF10,O15520
2257,FGF12,P61328
2260,FGFR1,P11362
2261,FGFR3,P22607
2262,GPC5,P78333
2263,FGFR2,P21802
2264,FGFR4,P22455
2266,FGG,P02679
2267,FGL1,Q08830
2268,FGR,P09769
2271,FH,P07954
2272,FHIT,P49789
2273,FHL1,Q13642
2277,VEGFD,O43915
2280,FKBP1A,P62942
2281,FKBP1B,P68106
2286,FKBP2,P26885
2288,FKBP4,Q02790
2289,FKBP5,Q13451
2303,FOXC2,Q99958
2305,FOXM1,Q08050
2308,FOXO1,Q12778
2309,FOXO3,O43524
2313,FLI1,Q01543
2314,FLII,Q13045
2315,MLANA,Q16655
2316,FLNA,P21333
2321,FLT1,P17948
2322,FLT3,P36888
2323,FLT3LG,P49771
2324,FLT4,P35916
2328,FMO3,P31513
2331,FMOD,Q06828
2332,FMR1,Q06787
2335,FN1,P02751
2339,FNTA,P49354
2346,FOLH1,Q04609
2348,FOLR1,P15328
2350,FOLR2,P14207
2352,FOLR3,P41439
2355,FOSL2,P15408
2395,FXN,Q16595
2483,FRG1,Q14331
2487,FRZB,Q92765
2488,FSHB,P01225
2494,NR5A2,O00482
2495,FTH1,P02794
2512,FTL,P02792
2517,FUCA1,P04066
2524,FUT2,Q10981
2525,FUT3,P21217
2527,FUT5,Q11128
2529,FUT7,Q11130
2530,FUT8,Q9BYC5
2531,KDSR,Q06136
2534,FYN,P06241
2535,FZD2,Q14332
2539,G6PD,P11413
2547,XRCC6,P12956
2548,GAA,P10253
2549,GAB1,Q13480
2550,GABBR1,Q9UBS5
2553,GABPB1,Q06547
2571,GAD1,Q99259
2574,GAGE2B,Q13066
2582,GALE,Q14376
2583,B4GALNT1,Q00973
2584,GALK1,P51570
2585,GALK2,Q01415
2588,GALNS,P34059
2589,GALNT1,Q10472
2590,GALNT2,Q10471
2591,GALNT3,Q14435
2596,GAP43,P17677
2615,LRRC32,Q14392
2617,GARS1,P41250
2619,GAS1,P54826
2620,GAS2,O43903
2621,GAS6,Q14393
2628,GATM,P50440
2629,GBA,P04062
2633,GBP1,P32455
2634,GBP2,P32456
2638,GC,P02774
2639,GCDH,Q92947
2641,GCG,P01275
2643,GCH1,P30793
2644,GCHFR,P30047
2645,GCK,P35557
2646,GCKR,Q14397
2647,BLOC1S1,P78537
2648,KAT2A,Q92830
2650,GCNT1,Q02742
2651,None,Q8NFS9
2653,GCSH,P23434
2658,GDF2,Q9UK05
2660,MSTN,O14793
2661,GDF9,O60383
2662,GDF10,P55107
2664,GDI1,P31150
2665,GDI2,P50395
2668,GDNF,P39905
2669,GEM,P55040
2670,GFAP,P14136
2671,GFER,P55789
2674,GFRA1,P56159
2675,GFRA2,O00451
2676,GFRA3,O60609
2683,B4GALT1,P15291
2687,GGT5,P36269
2688,GH1,P01241
2689,GH2,P01242
2690,GHR,P10912
2691,GHRH,P01286
2694,CBLIF,P27352
2695,GIP,P09681
2697,GJA1,P17302
2703,GJA8,P48165
2717,GLA,P06280
2719,GPC3,P51654
2730,GCLM,P48507
2739,GLO1,Q04760
2740,GLP1R,P43220
2744,GLS,O94925
2745,GLRX,P35754
2746,GLUD1,P00367
2752,GLUL,P15104
2760,GM2A,P17900
2762,GMDS,O60547
2764,GMFB,P60983
2766,GMPR,P36959
2770,GNAI1,P63096
2773,GNAI3,P08754
2776,GNAQ,P50148
2778,GNAS,O95467
2791,GNG11,P61952
2793,GNGT2,O14610
2796,GNRH1,P01148
2797,GNRH2,O43555
2799,GNS,P15586
2806,GOT2,P00505
2810,SFN,P31947
2811,GP1BA,P07359
2812,GP1BB,P13224
2814,GP5,P40197
2817,GPC1,P35052
2819,GPD1,P21695
2821,GPI,P06744
2837,UTS2R,Q9UKP6
2849,GPR26,Q8NDV2
2861,GPR37,O15354
2869,GRK5,P34947
2875,GPT,P24298
2876,GPX1,P07203
2877,GPX2,P18283
2878,GPX3,P22352
2880,GPX5,O75715
2882,GPX7,Q96SL4
2885,GRB2,P62993
2886,GRB7,Q14451
2887,GRB10,Q13322
2888,GRB14,Q14449
2889,RAPGEF1,Q13905
2893,GRIA4,P48058
2894,GRID1,Q9ULK0
2895,GRID2,O43424
2896,GRN,P28799
2898,GRIK2,Q13002
2908,NR3C1,P04150
2914,GRM4,Q14833
2920,CXCL2,P19875
2921,CXCL3,P19876
2922,GRP,P07492
2923,PDIA3,P30101
2928,GSC2,O15499
2931,GSK3A,P49840
2932,GSK3B,P49841
2934,GSN,P06396
2936,GSR,P00390
2937,GSS,P48637
2938,GSTA1,P08263
2939,GSTA2,P09210
2940,GSTA3,Q16772
2941,GSTA4,O15217
2944,GSTM1,P09488
2947,GSTM3,P21266
2948,GSTM4,Q03013
2949,GSTM5,P46439
2950,GSTP1,P09211
2952,GSTT1,P30711
2953,GSTT2,P0CG29
2954,GSTZ1,O43708
2958,GTF2A2,P52657
2959,GTF2B,Q00403
2960,GTF2E1,P29083
2961,GTF2E2,P29084
2963,GTF2F2,P13984
2969,GTF2I,P78347
2972,BRF1,Q92994
2978,GUCA1A,P43080
2979,GUCA1B,Q9UMX6
2981,GUCA2B,Q16661
2987,GUK1,Q16774
2990,GUSB,P08236
2999,GZMH,P20718
3001,GZMA,P12544
3002,GZMB,P10144
3003,GZMK,P49863
3004,GZMM,P51124
3006,H1-2,P16403
3015,H2AZ1,P0C0S5
3026,HABP2,Q14520
3028,HSD17B10,Q99714
3029,HAGH,Q16775
3033,HADH,Q16836
3035,HARS1,P12081
3043,HBB,P68871
3045,HBD,P02042
3046,HBE1,P02100
3048,HBG2,P69892
3049,HBQ1,P09105
3050,HBZ,P02008
3052,HCCS,P53701
3053,SERPIND1,P05546
3055,HCK,P08631
3059,HCLS1,P14317
3066,HDAC2,Q92769
3068,HDGF,P51858
3069,HDLBP,Q00341
3073,HEXA,P06865
3074,HEXB,P07686
3075,CFH,P08603
3078,CFHR1,Q03591
3080,CFHR2,P36980
3081,HGD,Q93099
3082,HGF,P14210
3083,HGFAC,Q04756
3084,NRG1,Q02297
3087,HHEX,Q03014
3091,HIF1A,Q16665
3093,UBE2K,P61086
