Module,SOMAmer,SYMBOL,ENTREZID
green,X15594.47,HTRA1,5654
green,X15602.43,IL6R,3570
green,X15612.5,LIN7B,64130
green,X15614.168,LILRA2,11027
green,X15617.8,XCL2,6846
green,X15619.49,MOG,4340
green,X15620.4,NLGN1,22871
green,X15622.13,OPCML,4978
green,X15623.1,PDCD1,5133
green,X15634.139,SLIT1,6585
green,X15635.4,SMOC2,64094
green,X15636.49,SORCS1,114815
green,X15637.38,SORCS3,22986
green,X15641.20,TMEFF1,8577
green,X15644.1,BTD,686
green,X15653.9,COL10A1,1300
green,X15667.39,BMP4,652
green,X15670.15,C1QL2,165257
green,X15688.30,LMAN1,3998
green,X16035.8,FLT4,2324
green,X16057.6,IGF2R,3482
green,X16060.99,NID2,22795
green,X16070.7,WIF1,11197
green,X16074.12,GRAP2,9402
green,X16288.17,EPHA4,2043
green,X16293.1,GHRH,2691
green,X16297.14,ROBO4,54538
green,X16300.4,TREM2,54209
green,X16307.22,UNC5D,137970
green,X16315.105,FLT1,2321
green,X16317.20,DSG3,1830
green,X16318.12,ACVRL1,94
green,X16320.139,CD320,51293
green,X16323.8,NRXN3,9369
green,X16324.38,TLR1,7096
green,X16583.8,NUDT2,318
green,X16609.106,KIRREL2,84063
green,X16610.13,LRP10,26020
green,X16612.28,SDC3,9672
green,X16614.27,RSPO1,284654
green,X16616.137,ENO3,2027
green,X16620.26,LY75,4065
green,X16621.77,NAXE,128240
green,X16751.15,NPPB,4879
green,X16768.3,JUP,3728
green,X16773.29,SCUBE3,222663
green,X16792.4,SIGLEC5,8778
green,X16802.31,OCIAD1,54940
green,X16803.4,CALB2,794
green,X16810.3,GDI1,2664
green,X16818.200,CDCP1,64866
green,X16828.8,COL6A1,1291
green,X16845.15,MPZL1,9019
green,X16852.10,PDZK1,5174
green,X16858.384,RCN3,57333
green,X16859.100,SH3GLB1,51100
green,X16872.248,GSTZ1,2954
green,X16883.57,RAB4A,5867
green,X16887.29,PTRH2,51651
green,X16890.37,ADAMTSL1,92949
green,X16899.59,OSBPL9,114883
green,X16900.29,MDGA1,266727
green,X16907.3,CADM2,253559
green,X16908.5,OMG,4974
green,X16913.8,RNASET2,8635
green,X16916.19,SLITRK6,84189
green,X16918.198,TLR3,7098
green,X16919.1,DBI,1622
green,X16922.53,PLXNB3,5365
green,X16923.20,PFN2,5217
green,X16926.44,ALPL,249
green,X17156.72,DCLK1,9201
green,X17170.15,CALCB,797
green,X17172.19,STATH,6779
green,X17199.43,HIF1AN,55662
green,X17210.2,TCL1A,8115
green,X17327.3,CNPY3,10695
green,X17331.138,KREMEN1,83999
green,X17335.18,VAMP2,6844
green,X17341.89,ACAT2,39
green,X17350.13,CHMP2B,25978
green,X17356.34,IL1F10,84639
green,X17365.7,KYAT1,883
green,X17366.6,DCUN1D1,54165
green,X17367.5,STMN1,3925
green,X17384.110,PFKM,5213
green,X17393.13,ACADS,35
green,X17400.71,ACOT8,10005
green,X17403.14,ACADSB,36
green,X17408.2,PMM1,5372
green,X17427.26,NLGN3,54413
green,X17449.23,CD9,928
green,X17454.15,EGFL6,25975
green,X17456.53,GOLM1,51280
green,X17467.1,DHRS9,10170
green,X17475.18,PBK,55872
green,X17490.4,SH3BGRL3,83442
green,X17510.7,SRP14,6727
green,X17671.58,ING4,51147
green,X17673.34,CA5B,11238
green,X17678.28,VSIG4,11326
green,X17680.12,EPHB1,2047
green,X17682.1,CD46,4179
green,X17691.1,TPP1,1200
green,X17692.2,BTN3A3,10384
green,X17696.1,TICAM2,353376
green,X17698.15,WBP2,23558
green,X17703.40,GMNN,51053
green,X17706.4,PPP1R1A,5502
green,X17712.7,IDI1,3422
green,X17721.82,GAS7,8522
green,X17729.20,UBE2S,27338
green,X17735.130,GABARAP,11337
green,X17738.7,CRNN,49860
green,X17746.77,FIS1,51024
green,X17751.68,CRYBB1,1414
green,X17756.69,DCTD,1635
green,X17761.2,NUDT5,11164
green,X17772.7,UBD,10537
green,X17775.8,TAGLN3,29114
green,X17777.31,SDSL,113675
green,X17781.191,MAP1LC3A,84557
green,X17782.23,ACAA1,30
green,X17784.23,GMFB,2764
green,X17791.25,HPCAL1,3241
green,X17792.158,ALDH5A1,7915
green,X17796.15,IMPA1,3612
green,X17797.1,CUL1,8454
green,X17804.102,PNPO,55163
green,X17808.37,NIT2,56954
green,X17812.2,PTP4A1,7803
green,X17816.58,NCALD,83988
green,X17818.22,SUGT1,10910
green,X17819.30,FAHD1,81889
green,X17827.53,DYNLRB2,83657
green,X17829.2,TREX2,11219
green,X17835.28,ANXA13,312
green,X17836.17,S100A16,140576
green,X17849.6,DRG1,4733
green,X17857.6,ACADL,33
green,X18162.167,IRAK4,51135
green,X18165.181,UBE2V2,7336
green,X18166.4,RHOB,388
green,X18179.56,SMS,6611
green,X18187.16,ASPA,443
green,X18188.12,GATM,2628
green,X18194.18,FABP9,646480
green,X18197.97,CKMT2,1160
green,X18198.51,HBQ1,3049
green,X18205.123,MAGEA6,4105
green,X18214.2,GCLM,2730
green,X18216.22,IL11RA,3590
green,X18218.48,CNRIP1,25927
green,X18220.141,SRA1,10011
green,X18225.13,HEBP1,50865
green,X18226.148,COX5A,9377
green,X18227.3,CDK2AP2,10263
green,X18231.147,PRND,23627
green,X18233.10,GOT2,2806
green,X18235.16,PGP,283871
green,X18236.3,LGALSL,29094
green,X18240.6,OMP,4975
green,X18242.8,SPA17,53340
green,X18265.18,ZNF34,80778
green,X18268.5,GAGE2A,729447
green,X18273.14,GAGE2D,729408
green,X18280.29,DTD2,112487
green,X18284.77,WWC1,23286
green,X18285.6,SVIP,258010
green,X18294.26,SOX2,6657
green,X18295.102,GRHPR,9380
green,X18301.10,NAIF1,203245
green,X18303.39,NRGN,4900
green,X18304.19,BCCIP,56647
green,X18306.1,PALM,5064
green,X18307.71,PPA2,27068
green,X18308.30,STXBP6,29091
green,X18310.26,SELENOW,6415
green,X18312.68,NDRG3,57446
green,X18313.4,ASRGL1,80150
green,X18319.7,PDHX,8050
green,X18322.15,JMJD6,23210
green,X18323.39,CRMP1,1400
green,X18324.61,SUOX,6821
green,X18326.50,MAGEA8,4107
green,X18330.7,PGM2,55276
green,X18332.17,CPLX1,10815
